Day,Susceptible,Infected,Recovered,Dead,Hospitalized,Daily Infected,Daily Dead
0,0.8544932592822077,0.8544932592822077,0.0,0.0,0.18687063686046268,0.8544932592822077,0.0
1,1.9877402021167432,1.9877402021167432,0.0,0.0,0.28729720245711154,1.5772187697396474,0.0
2,3.90018314588284,3.9001831458828398,0.0,0.0,0.7001133695043469,2.0392964862251293,0.0
3,9.354126497951722,9.354126497951722,0.0,0.0,1.5093360255739072,5.92128257234759,0.0
4,19.06242043959457,19.062420439594575,0.0,0.0,2.766924830181155,9.922397303775345,0.0
5,42.134930650855246,42.134930650855246,0.0,0.0,6.092514272345217,23.247624900020718,0.0
6,83.38626128702839,83.38626128702839,0.0,0.0,12.036531694723992,41.56649291596939,0.0
7,160.0089124501884,160.0089124501884,0.0,0.0,22.922893526320966,76.94251822699275,0.0
8,298.0887638122428,298.0887638122428,0.0,0.0,41.54815909050031,138.21923464336223,0.0
9,500.1636989169503,500.1636989169503,0.0,0.0,69.39219113471047,204.38858570931487,0.0
10,766.2720371517121,766.272037151712,0.0,0.0,105.34179592286229,268.50696305002816,0.0
11,1093.4370958311604,1093.4370958311606,0.0,0.0,150.44930169645977,331.3836600659878,0.0
12,1465.8943514195726,1465.8943514195726,0.0,0.0,202.04640831034615,379.10674293618484,0.0
13,1838.4119800126325,1838.196387939798,0.635959467611297,0.0,251.87293974894916,382.3053686788022,0.0
14,2198.1021853278016,2197.051056042427,1.5638779638176012,0.0,301.8078890697887,375.54364149412334,0.0
15,2542.9930319674336,2540.743928927304,2.9994708528047735,0.10690449676496976,347.40726751726066,363.7939613973909,0.10690449676496976
16,2834.2902188104244,2828.0314711659,7.544702756407285,0.3581256319421555,385.4929023701705,320.8539083074889,0.33617833513757694
17,3046.332996003504,3032.8183995162726,15.872547929610349,0.4457916090845124,413.32627336520505,246.10102842222375,0.2062515031210259
18,3195.1098307376215,3165.12115297596,34.759235383483976,0.8533779750227728,433.8564922563864,190.42525009308997,0.5333333333333332
19,3276.1589566451667,3214.76207636258,69.38494873609918,1.760591531185624,440.86728881740174,132.5699336259444,0.9495195109039632
20,3279.141602542319,3162.7840777611873,131.98284400296544,3.0625230805738624,432.6284281290318,90.56543017541044,1.3968217893171309
21,3214.26931705165,2997.55068299818,248.78161903214226,5.835033765765118,411.13725511036154,79.90767291365823,2.8665559225563446
22,3104.669332084707,2739.779743435535,416.28720854717596,9.722760075825358,379.4626233763775,93.45948277534451,4.117172708438536
23,2946.972429406583,2387.750566856557,643.0300331182546,14.26613261127695,331.3532599162756,120.01507048224045,4.760952285695233
24,2758.5615169032717,1964.7967045368157,922.8177680430047,20.680671138291395,275.20386902042185,136.56642781573078,6.507041363137882
25,2543.2705619165085,1498.163867316701,1246.819196678632,27.930321465082656,211.96968486457516,151.40272585665488,7.502930644352795
26,2310.9344031956025,1066.581006977175,1575.6827672019338,35.54619618879162,154.33669645620859,164.89271548206008,8.004681170097946
27,2072.3400902177736,784.0322932286633,1891.613078326336,43.16266758456749,113.56952419287853,166.8408385163099,7.882389453209192
28,1842.643860033901,831.2071764360136,2200.943030496715,49.89148860197133,114.05216851448787,160.9869619092239,7.198015599554405
29,1616.020682525198,1109.737042497935,2465.722060187489,55.02110994593384,150.78599993957587,163.96576297682216,6.083545332248606
30,1411.1856476252485,1426.4051191052013,2663.120521326646,59.44222218068381,193.86055371249276,155.25998063667785,5.63762868082469
31,1221.9470653331061,1718.1085238373448,2808.70364584068,63.65438425529412,236.12127634513826,153.4638678326554,5.571013415545727
32,1046.1345332161163,1955.473690025246,2893.1953096330253,65.94179732855811,269.2016002688349,154.17622776014855,3.280243893371345
33,904.6061224783948,2109.996275780961,2921.1225123338277,66.51979058658063,289.9199506377196,139.00674415522045,3.325228241360713
34,775.0105121662892,2195.93772282815,2885.863727216428,65.42671654679943,302.23508982877803,135.76397118903037,3.7902967174548756
35,653.7254547275409,2243.622603581446,2819.667407269703,64.10215062137708,311.18354712291585,135.88552605217447,2.86821663523986
36,548.6470169483739,2230.914632988573,2707.6218679281155,61.738609257221476,309.0074155374638,123.98596182696946,3.4126747876627803
37,462.69115140372156,2176.387477464317,2572.8721894979667,58.788358635967306,302.9140566469072,112.41691958741713,3.3582875454754073
38,389.94976477441173,2085.547110738837,2414.67666546272,55.66823493656307,290.872864825964,107.37303909180146,3.841461362141418
39,331.5743369930504,1968.4424794544127,2243.112543723458,52.64027669150999,272.99799755065357,98.51344924699207,4.125260934507995
40,283.6100351953225,1833.2671342160763,2064.408294948935,48.37254895148169,254.13826133232254,89.11452592119159,5.094036351382502
41,239.15260718589192,1695.3974300187806,1884.8406025823128,44.858847404678045,235.02621535641913,86.07764306090539,4.054940157701428
42,203.60905271919114,1549.6957995397393,1706.298244646152,41.008787289075435,214.44381659584047,79.25417018721154,4.206419885599659
43,172.92597370248453,1405.3260413653775,1534.65364935938,37.13448745748565,191.67133244838593,70.29379615426797,4.528428719397786
44,151.0121681210985,1258.2923000562914,1369.0365253049488,33.36406202668726,170.95361294157482,60.907163287108844,3.9781147325582276
45,131.9388386444914,1117.9367000849493,1212.3680322881685,30.53426906447225,151.2693970246146,56.33774567110036,3.1827910283521175
46,113.53983148363983,997.1539636894531,1074.7599989011942,27.1926927626254,135.52704410020786,54.35802535628866,3.608015767395949
47,94.28520394282276,889.2971696081214,947.0463651679245,24.687082927961807,120.67277543074384,51.67881270443123,3.075556473070787
48,80.71070423294408,782.0947829539648,825.8088760013055,21.924430093405732,105.84793525064812,44.155727306525634,2.8881806213578995
