Day,Susceptible,Infected,Recovered,Dead,Hospitalized,Daily Infected,Daily Dead
0,0.4897948447043823,0.4897948447043822,0.0,0.0,0.0,0.4897948447043822,0.0
1,1.6070787224657108,1.6070787224657108,0.0,0.0,0.3046358979224712,1.2193204764303862,0.0
2,3.410100860500739,3.410100860500739,0.0,0.0,0.6092717958449424,1.9596626693841415,0.0
3,7.12106705203623,7.1210670520362305,0.0,0.0,1.0307764064044154,3.8873012632302,0.0
4,17.208374605570878,17.208374605570874,0.0,0.0,2.4969678581929093,10.190948400071964,0.0
5,34.1639226540383,34.1639226540383,0.0,0.0,4.658542712267454,17.260628404820405,0.0
6,67.27200083214112,67.27200083214113,0.0,0.0,9.782063311299035,33.185315299318034,0.0
7,129.25492341598726,129.25492341598726,0.0,0.0,19.24476840887183,62.10643763700826,0.0
8,232.869202894169,232.869202894169,0.0,0.0,33.02832997304104,103.79068813937232,0.0
9,391.30985036144824,391.30985036144824,0.0,0.0,52.622920074542776,159.4946090093026,0.0
10,612.3606087523227,612.3606087523227,0.0,0.0,83.46604583949576,226.40046757277625,0.0
11,890.845504069708,890.845504069708,0.0,0.0,124.09810747057257,287.2266553005684,0.0
12,1207.2890688784246,1207.2890688784246,0.0,0.0,167.05045773446096,328.8071905548996,0.0
13,1549.604120795653,1549.3569786684038,0.4660168636130212,0.0,214.26259937258996,364.7775335597013,0.0
14,1916.5296029713854,1915.5658571373376,1.118033988749895,0.08333333333333333,262.26404859772276,396.18952952858416,0.08333333333333333
15,2295.935793649423,2293.8587818588812,2.406194656978676,0.1123666437438737,313.7716671258084,417.69280311944306,0.08333333333333333
16,2674.2016362671948,2669.4883048956685,5.5452113293244905,0.1421338109037403,366.22231684256406,430.7726116285632,0.11236664374387367
17,2990.9160229878835,2980.301975560581,13.669876747909262,0.414387707005374,407.3286744017649,367.53988308286443,0.3333333333333333
18,3253.214254371895,3232.4463431140057,27.96348403532613,0.8020648856595586,444.87984134182034,312.1668163212119,0.41666666666666663
19,3458.8682626633235,3420.177825948691,54.13420938983617,1.4361406616345072,471.25439405287403,260.23481408066056,0.6666666666666667
20,3612.1098202484586,3539.007144320354,105.18284944886129,2.6211792781267,487.66587633793335,210.69061974249058,1.2633129445864142
21,3693.7047879610063,3563.0304503188,192.02388319469983,5.0512524699475785,490.3647735218254,147.69348506384102,2.4478139082236074
22,3702.2719712858334,3481.5688479919622,324.17123545896226,7.086407532535207,479.33571655643055,100.06539212944806,2.243959343516173
23,3654.850652184399,3299.51032055202,510.7774130250532,11.371482140011745,454.875671214263,74.39698236385993,4.374224317960659
24,3548.3166199237735,3018.9198436023376,745.7534255483993,17.655799974152195,412.42498782300777,83.16842395058502,6.560326119018688
25,3393.0814035305507,2661.5336842503025,1016.8519115263281,23.23055013545654,363.19792444785844,109.68712103160526,5.8510013819616535
26,3203.9288644663457,2239.9775459958646,1313.4425627069893,31.01620625584391,304.61744098710983,130.67882210004248,8.183925794760203
27,2975.2092111948677,1777.2538969267769,1628.5059211908124,37.54965567637261,240.3489926285853,157.53852142356558,7.757816195374323
28,2735.851547281509,1333.3268418402583,1956.6665627742475,45.603770832480656,179.24640227148976,159.55206395127306,8.705913466887282
29,2478.0842596355633,990.2817356870486,2287.2858860989536,53.13352724195635,132.60544451168442,175.55882636641064,8.612410296259178
30,2229.539969733984,947.2749629486113,2570.322345833281,58.247182053484075,125.13240462353741,177.2320142318731,7.4064451184714315
31,2004.7019934898105,1143.00939260835,2809.180348280734,64.08546120910607,154.48121678179467,163.99623517482087,6.836843148882695
32,1786.7904758380191,1425.815826185844,3002.626722424413,69.13438001457742,196.92312503034574,168.0807360716386,5.725849590702985
33,1572.1507890578923,1728.1366583620486,3149.183507596882,73.37856731644563,238.98438835787556,173.58042557101345,5.370314495239341
34,1383.385839410617,1979.0931839628172,3241.7872318274367,75.56903660183377,272.66591997193456,164.0019401215619,3.9902026479512513
35,1217.4856977568256,2159.270101349252,3276.7672130755445,75.63994238389124,296.7301462132171,156.24135531641778,3.436564381395284
36,1067.489995931644,2285.7882748075062,3263.971421350674,76.29876731598875,314.28802314103376,149.52826495416184,2.2557446305785236
37,938.4328840027814,2349.3155336483464,3205.064737996329,75.03074706445689,319.9796661389974,140.67391012515077,3.307093691879426
38,825.5630294874921,2356.8815055464433,3105.701090658952,72.39060014876925,319.477841029845,136.1450503965339,3.6503597442753866
39,728.8724839459476,2319.956209857541,2978.318411872713,68.44809284517294,315.3559276612874,125.01657213378077,4.707076126064424
40,647.5179938804713,2239.7726007410447,2821.305998513361,64.94070722239985,305.2489379857269,120.45080254333442,4.10068976705829
41,561.6191262139254,2145.6057967036922,2645.4529727793065,60.97943745992819,292.10415998026764,121.72300480595236,4.637558025992176
42,491.24467959182294,2021.820011390627,2454.3766437928716,56.82115749783649,275.9651966693034,112.14357680305109,4.397758267319588
43,441.2000358011195,1875.360293161468,2260.9001496621704,52.7680925456766,256.3343714267509,96.23620194945647,4.600930406565677
44,397.99146925023354,1735.0475119393327,2078.94841509506,49.50686106924265,239.1281341042957,88.94230836430837,3.7018798118542615
45,363.0050739481767,1586.8422824253612,1898.9627864024653,45.15295973385657,217.38134462252964,77.08739956515055,4.59159035849258
46,332.5530137353208,1431.0339244067661,1714.3749904716137,40.81544908289488,195.6262460831002,70.73170963206495,4.597979354174412
47,315.7132967303139,1278.0075310297225,1545.9514861323262,37.88939245496107,175.0884336441434,58.643095299128156,3.3944212996615435
