Day,Susceptible,Infected,Recovered,Dead,Hospitalized,Daily Infected,Daily Dead
0,99992.625,7.375,0.0,0.0,0.375,2.375,0.0
1,99987.625,12.375,0.0,0.0,1.125,5.0,0.0
2,99977.4375,22.5625,0.0,0.0,2.5,10.1875,0.0
3,99960.4375,39.5625,0.0,0.0,4.8125,17.0,0.0
4,99929.8125,70.1875,0.0,0.0,9.25,30.625,0.0
5,99879.875,120.125,0.0,0.0,15.375,49.9375,0.0
6,99766.0,234.0,0.0,0.0,31.625,113.875,0.0
7,99561.875,438.125,0.0,0.0,60.3125,204.125,0.0
8,99212.0625,787.9375,0.0,0.0,108.25,349.8125,0.0
9,98647.0,1353.0,0.0,0.0,187.125,565.0625,0.0
10,97794.0,2206.0,0.0,0.0,304.0,853.0,0.0
11,96626.375,3373.625,0.0,0.0,469.125,1167.625,0.0
12,95126.625,4873.375,0.0,0.0,669.125,1499.75,0.0
13,93314.25,6680.1875,5.5625,0.0,917.6875,1814.1875,0.0
14,91146.6875,8843.625,9.5,0.1875,1215.625,2168.625,0.1875
15,88663.8125,11317.75,18.1875,0.25,1564.875,2484.8125,0.0625
16,85792.0625,14174.6875,32.75,0.5,1960.6875,2874.875,0.25
17,82849.6875,17090.3125,58.9375,1.0625,2367.5,2947.5,0.5625
18,79799.125,20098.75,100.1875,1.9375,2781.375,3061.0,0.875
19,76502.25,23298.875,194.25,4.625,3218.9375,3318.25,2.6875
20,73118.9375,26506.125,365.9375,9.0,3664.0,3420.125,4.375
21,69651.9375,29676.0,657.0,15.0625,4104.6875,3533.875,6.0625
22,66199.4375,32645.4375,1129.375,25.75,4525.1875,3558.0625,10.6875
23,62868.75,35244.1875,1845.75,41.3125,4889.375,3491.75,15.5625
24,59697.9375,37409.625,2826.625,65.8125,5190.0625,3400.625,24.5
25,56673.6875,39136.75,4096.3125,93.25,5435.25,3318.5,27.4375
26,53820.0,40407.375,5644.1875,128.4375,5615.375,3205.8125,35.1875
27,51236.9375,41080.625,7512.0,170.4375,5709.875,3005.9375,42.0
28,48916.0625,41215.875,9649.4375,218.625,5722.0625,2812.875,48.1875
29,46823.5625,40781.4375,12119.75,275.25,5659.5625,2656.5625,56.625
30,44887.0625,40086.5625,14691.875,334.5,5554.5,2524.125,59.25
31,43174.9375,39049.25,17380.1875,395.625,5405.4375,2315.1875,61.125
32,41308.3125,37923.375,20303.625,464.6875,5255.0,2533.8125,69.0625
33,39632.0,36491.0,23342.75,534.25,5047.0,2352.25,69.5625
34,38215.75,34716.75,26463.75,603.75,4794.125,2123.3125,69.5
35,36984.875,32751.5625,29586.1875,677.375,4506.125,1949.75,73.625
36,35902.125,30677.5,32669.625,750.75,4222.9375,1774.125,73.375
37,34986.625,28540.6875,35649.25,823.4375,3920.1875,1589.5,72.6875
38,34226.5,26349.875,38538.4375,885.1875,3618.75,1418.6875,61.75
39,33582.4375,24167.3125,41302.3125,947.9375,3315.4375,1278.0,62.75
40,32997.8125,22139.75,43855.8125,1006.625,3039.4375,1175.8125,58.6875
41,32490.875,20231.625,46216.0,1061.5,2771.1875,1043.75,54.875
42,32051.3125,18414.375,48422.5,1111.8125,2522.1875,935.875,50.3125
43,31681.25,16706.8125,50453.6875,1158.25,2288.625,836.625,46.4375
44,31360.25,15164.25,52276.125,1199.375,2085.25,744.4375,41.125
45,31129.9375,13400.5,54226.0625,1243.5,1841.5625,676.4375,44.125
46,30952.25,11783.3125,55985.6875,1278.75,1625.375,587.0,35.25
47,30782.25,10359.6875,57542.6875,1315.375,1433.8125,523.0,36.625
48,30643.5625,9061.9375,58948.75,1345.75,1260.75,451.1875,30.375
49,30529.0,7914.125,60182.4375,1374.4375,1094.75,392.75,28.6875
50,30434.3125,6915.75,61252.875,1397.0625,957.0,343.25,22.625
51,30360.5625,6044.125,62177.5,1417.8125,835.9375,284.125,20.75
52,30288.9375,5286.6875,62987.8125,1436.5625,730.8125,251.0,18.75
53,30233.5625,4600.5625,63712.75,1453.125,631.5625,220.125,16.5625
54,30200.0625,3992.375,64340.8125,1466.75,551.0,176.8125,13.625
55,30170.0,3461.1875,64889.875,1478.9375,477.5,157.0,12.1875
56,30142.625,2996.125,65371.5625,1489.6875,414.8125,134.875,10.75
57,30124.75,2583.9375,65792.625,1498.6875,356.6875,116.25,9.0
58,30106.9375,2217.0625,66168.1875,1507.8125,304.375,100.25,9.125
59,30094.25,1904.875,66484.75,1516.125,261.6875,86.9375,8.3125
