Day,Susceptible,Infected,Recovered,Dead,Hospitalized,Daily Infected,Daily Dead
0,99991.38461538461,8.615384615384615,0.0,0.0,0.3076923076923077,3.6153846153846154,0.0
1,99985.46153846153,14.538461538461538,0.0,0.0,0.6923076923076923,5.923076923076923,0.0
2,99974.53846153847,25.46153846153846,0.0,0.0,1.6153846153846154,10.923076923076923,0.0
3,99949.38461538461,50.61538461538461,0.0,0.0,5.461538461538462,25.153846153846153,0.0
4,99902.84615384616,97.15384615384616,0.0,0.0,12.076923076923077,46.53846153846154,0.0
5,99826.0,174.0,0.0,0.0,21.53846153846154,76.84615384615384,0.0
6,99665.84615384616,334.15384615384613,0.0,0.0,43.46153846153846,160.15384615384616,0.0
7,99368.61538461539,631.3846153846154,0.0,0.0,85.84615384615384,297.2307692307692,0.0
8,98897.38461538461,1102.6153846153845,0.0,0.0,150.84615384615384,471.2307692307692,0.0
9,98172.30769230769,1827.6923076923076,0.0,0.0,253.0,725.0769230769231,0.0
10,97138.69230769231,2861.3076923076924,0.0,0.0,399.61538461538464,1033.6153846153845,0.0
11,95739.38461538461,4260.615384615385,0.0,0.0,590.2307692307693,1399.3076923076924,0.0
12,93927.84615384616,6072.153846153846,0.0,0.0,842.1538461538462,1811.5384615384614,0.0
13,91769.92307692308,8223.153846153846,6.846153846153846,0.07692307692307693,1140.7692307692307,2159.6153846153848,0.07692307692307693
14,89101.69230769231,10886.846153846154,11.307692307692308,0.15384615384615385,1510.7692307692307,2669.6923076923076,0.07692307692307693
15,86075.07692307692,13904.076923076924,20.615384615384617,0.23076923076923078,1919.8461538461538,3028.923076923077,0.07692307692307693
16,82623.38461538461,17334.69230769231,41.15384615384615,0.7692307692307693,2397.6923076923076,3456.5384615384614,0.5384615384615384
17,79313.0,20605.53846153846,79.6923076923077,1.7692307692307692,2858.0,3319.230769230769,1.0
18,75955.38461538461,23897.615384615383,144.15384615384616,2.8461538461538463,3317.230769230769,3372.3846153846152,1.0769230769230769
19,72485.15384615384,27230.076923076922,278.61538461538464,6.153846153846154,3787.153846153846,3496.923076923077,3.3076923076923075
20,69047.84615384616,30418.384615384617,522.3076923076923,11.461538461538462,4227.076923076923,3496.769230769231,5.3076923076923075
21,65667.38461538461,33396.38461538462,915.6923076923077,20.53846153846154,4638.615384615385,3469.6153846153848,9.076923076923077
22,62382.153846153844,36058.846153846156,1523.6923076923076,35.30769230769231,5013.0,3420.076923076923,14.76923076923077
23,59292.92307692308,38251.153846153844,2401.3076923076924,54.61538461538461,5314.538461538462,3279.6923076923076,19.307692307692307
24,56439.769230769234,39903.38461538462,3578.153846153846,78.6923076923077,5540.461538461538,3128.6923076923076,24.076923076923077
25,53779.61538461538,40991.307692307695,5114.538461538462,114.53846153846153,5687.615384615385,3003.6153846153848,35.84615384615385
26,51307.38461538462,41575.53846153846,6959.923076923077,157.15384615384616,5771.538461538462,2884.4615384615386,42.61538461538461
27,49131.769230769234,41420.07692307692,9239.692307692309,208.46153846153845,5746.615384615385,2695.153846153846,51.30769230769231
28,47254.230769230766,40639.769230769234,11840.538461538461,265.46153846153845,5651.461538461538,2471.846153846154,57.0
29,45573.46153846154,39275.38461538462,14818.23076923077,332.9230769230769,5457.461538461538,2346.923076923077,67.46153846153847
30,44047.07692307692,37834.92307692308,17719.384615384617,398.61538461538464,5252.384615384615,2172.153846153846,65.6923076923077
31,42719.07692307692,36142.692307692305,20669.615384615383,468.61538461538464,5009.2307692307695,2002.076923076923,70.0
32,40910.153846153844,34754.53846153846,23793.23076923077,542.0769230769231,4803.0,2504.3846153846152,73.46153846153847
33,39389.769230769234,33092.92307692308,26903.076923076922,614.2307692307693,4576.307692307692,2238.230769230769,72.15384615384616
34,38102.61538461538,31206.23076923077,30004.076923076922,687.0769230769231,4310.384615384615,1972.7692307692307,72.84615384615384
35,36995.153846153844,29212.846153846152,33036.61538461538,755.3846153846154,4023.846153846154,1796.6153846153845,68.3076923076923
36,36020.38461538462,27211.76923076923,35947.846153846156,820.0,3747.3076923076924,1628.0,64.61538461538461
37,35179.153846153844,25231.846153846152,38706.38461538462,882.6153846153846,3476.3846153846152,1458.076923076923,62.61538461538461
38,34472.53846153846,23255.846153846152,41330.307692307695,941.3076923076923,3207.3846153846152,1296.4615384615386,58.69230769230769
39,33912.769230769234,21302.23076923077,43788.61538461538,996.3846153846154,2934.846153846154,1119.6153846153845,55.07692307692308
