Day,Susceptible,Infected,Recovered,Dead,Hospitalized,Daily Infected,Daily Dead
0,99992.2,7.8,0.0,0.0,0.3333333333333333,2.8,0.0
1,99985.13333333333,14.866666666666667,0.0,0.0,1.3333333333333333,7.066666666666666,0.0
2,99970.33333333333,29.666666666666668,0.0,0.0,3.533333333333333,14.8,0.0
3,99940.8,59.2,0.0,0.0,7.8,29.533333333333335,0.0
4,99887.46666666666,112.53333333333333,0.0,0.0,15.133333333333333,53.333333333333336,0.0
5,99793.73333333334,206.26666666666668,0.0,0.0,28.066666666666666,93.73333333333333,0.0
6,99605.6,394.4,0.0,0.0,54.333333333333336,188.13333333333333,0.0
7,99273.86666666667,726.1333333333333,0.0,0.0,99.86666666666666,331.73333333333335,0.0
8,98730.6,1269.4,0.0,0.0,178.46666666666667,543.2666666666667,0.0
9,97884.13333333333,2115.866666666667,0.0,0.0,298.06666666666666,846.4666666666667,0.0
10,96695.26666666666,3304.733333333333,0.0,0.0,463.8666666666667,1188.8666666666666,0.0
11,95079.53333333334,4920.466666666666,0.0,0.0,686.9333333333333,1615.7333333333333,0.0
12,93015.06666666667,6984.933333333333,0.0,0.0,969.2666666666667,2064.4666666666667,0.0
13,90530.86666666667,9462.866666666667,6.2,0.06666666666666667,1298.1333333333334,2485.733333333333,0.06666666666666667
14,87522.13333333333,12465.8,11.866666666666667,0.2,1712.7333333333333,3010.0666666666666,0.13333333333333333
15,84165.2,15810.0,24.2,0.6,2180.866666666667,3359.4666666666667,0.4
16,80402.33333333333,19548.666666666668,47.86666666666667,1.1333333333333333,2695.0666666666666,3769.0666666666666,0.5333333333333333
17,76529.6,23376.133333333335,91.86666666666666,2.4,3226.0,3883.0666666666666,1.2666666666666666
18,72600.06666666667,27225.333333333332,170.06666666666666,4.533333333333333,3764.2,3946.2,2.1333333333333333
19,68595.66666666667,31068.466666666667,328.0,7.866666666666666,4298.266666666666,4038.266666666667,3.3333333333333335
20,64680.066666666666,34701.066666666666,604.8,14.066666666666666,4797.6,3976.6,6.2
21,60870.73333333333,38045.0,1059.0666666666666,25.2,5262.133333333333,3911.5333333333333,11.133333333333333
22,57255.73333333333,40928.4,1773.6,42.266666666666666,5665.133333333333,3773.4666666666667,17.066666666666666
23,53855.6,43294.53333333333,2785.133333333333,64.73333333333333,5984.2,3621.3333333333335,22.466666666666665
24,50753.26666666667,44993.53333333333,4159.266666666666,93.93333333333334,6222.466666666666,3411.6,29.2
25,47900.13333333333,46052.86666666667,5913.733333333334,133.26666666666668,6366.2,3258.4666666666667,39.333333333333336
26,45312.933333333334,46466.4,8037.8,182.86666666666667,6434.933333333333,3075.0666666666666,49.6
27,43063.2,46054.0,10641.6,241.2,6378.733333333334,2828.9333333333334,58.333333333333336
28,41121.933333333334,45031.2,13540.0,306.8666666666667,6232.466666666666,2612.733333333333,65.66666666666667
29,39407.4,43398.933333333334,16814.4,379.26666666666665,6005.533333333334,2460.733333333333,72.4
30,37923.86666666667,41406.46666666667,20213.333333333332,456.3333333333333,5723.866666666667,2259.3333333333335,77.06666666666666
31,36624.333333333336,39148.8,23690.4,536.4666666666667,5407.066666666667,2085.133333333333,80.13333333333334
32,35518.666666666664,36610.73333333333,27253.333333333332,617.2666666666667,5055.6,1920.7333333333333,80.8
33,34595.0,33930.26666666667,30778.666666666668,696.0666666666667,4687.133333333333,1718.0,78.8
34,33826.933333333334,31149.866666666665,34245.13333333333,778.0666666666667,4293.4,1543.2666666666667,82.0
35,33154.86666666667,28418.666666666668,37572.933333333334,853.5333333333333,3908.6666666666665,1420.6666666666667,75.46666666666667
36,32583.2,25733.8,40758.2,924.8,3545.6,1287.1333333333334,71.26666666666667
37,32137.533333333333,23145.933333333334,43721.6,994.9333333333333,3187.0,1121.1333333333334,70.13333333333334
38,31794.333333333332,20632.933333333334,46517.73333333333,1055.0,2842.5333333333333,974.0,60.06666666666667
39,31529.0,18258.0,49097.066666666666,1115.9333333333334,2516.8,856.2666666666667,60.93333333333333
40,31293.0,16115.6,51423.2,1168.2,2218.4666666666667,759.6666666666666,52.266666666666666
41,31099.933333333334,14184.466666666667,53501.26666666667,1214.3333333333333,1947.2,670.7333333333333,46.13333333333333
42,30956.6,12389.333333333334,55396.4,1257.6666666666667,1700.2666666666667,584.9333333333333,43.333333333333336
43,30830.8,10784.8,57086.46666666667,1297.9333333333334,1484.4666666666667,502.73333333333335,40.266666666666666
44,30749.2,9342.933333333332,58575.066666666666,1332.8,1281.6,424.4,34.86666666666667
45,30680.6,8060.0,59897.666666666664,1361.7333333333333,1101.4,367.1333333333333,28.933333333333334
46,30634.2,6948.066666666667,61029.4,1388.3333333333333,948.2,308.6,26.6
47,30596.133333333335,5991.4,62003.066666666666,1409.4,818.8,264.6666666666667,21.066666666666666
48,30573.666666666668,5113.133333333333,62884.933333333334,1428.2666666666667,698.0666666666667,223.86666666666667,18.866666666666667
49,30551.866666666665,4350.133333333333,63652.8,1445.2,588.8666666666667,196.86666666666667,16.933333333333334
50,30532.266666666666,3716.0,64293.6,1458.1333333333334,498.8,167.26666666666668,12.933333333333334
51,30511.933333333334,3182.0,64836.066666666666,1470.0,427.73333333333335,142.93333333333334,11.866666666666667
52,30499.133333333335,2721.4,65298.8,1480.6666666666667,365.06666666666666,118.66666666666667,10.666666666666666
53,30488.866666666665,2324.4666666666667,65697.4,1489.2666666666667,312.26666666666665,104.8,8.6
54,30485.333333333332,1962.5333333333333,66055.4,1496.7333333333333,263.6666666666667,83.6,7.466666666666667
55,30483.4,1660.6666666666667,66353.2,1502.7333333333333,223.66666666666666,70.33333333333333,6.0
56,30477.333333333332,1411.2666666666667,66602.6,1508.8,186.66666666666666,61.733333333333334,6.066666666666666
57,30475.733333333334,1194.9333333333334,66816.33333333333,1513.0,159.2,51.333333333333336,4.2
58,30473.333333333332,1008.2,67000.86666666667,1517.6,133.86666666666667,42.13333333333333,4.6
59,30473.4,853.8,67151.66666666667,1521.1333333333334,112.6,33.266666666666666,3.533333333333333
