Day,Susceptible,Infected,Recovered,Dead,Hospitalized,Daily Infected,Daily Dead
0,99994.08333333333,5.916666666666667,0.0,0.0,0.0,0.9166666666666666,0.0
1,99989.5,10.5,0.0,0.0,0.5,4.583333333333333,0.0
2,99981.08333333333,18.916666666666668,0.0,0.0,1.6666666666666667,8.416666666666666,0.0
3,99962.33333333333,37.666666666666664,0.0,0.0,4.166666666666667,18.75,0.0
4,99920.08333333333,79.91666666666667,0.0,0.0,10.833333333333334,42.25,0.0
5,99845.58333333333,154.41666666666666,0.0,0.0,22.0,74.5,0.0
6,99710.75,289.25,0.0,0.0,41.083333333333336,134.83333333333334,0.0
7,99448.08333333333,551.9166666666666,0.0,0.0,75.0,262.6666666666667,0.0
8,98982.08333333333,1017.9166666666666,0.0,0.0,144.33333333333334,466.0,0.0
9,98196.58333333333,1803.4166666666667,0.0,0.0,254.66666666666666,785.5,0.0
10,97006.08333333333,2993.9166666666665,0.0,0.0,414.25,1190.5,0.0
11,95353.41666666667,4646.583333333333,0.0,0.0,640.75,1652.6666666666667,0.0
12,93231.66666666667,6768.333333333333,0.0,0.0,945.75,2121.75,0.0
13,90677.58333333333,9317.916666666666,4.5,0.0,1300.25,2555.5,0.0
14,87678.58333333333,12313.083333333334,8.25,0.08333333333333333,1717.6666666666667,2999.8333333333335,0.08333333333333333
15,84335.16666666667,15649.583333333334,15.166666666666666,0.08333333333333333,2179.25,3345.0,0.0
16,80584.5,19383.083333333332,31.833333333333332,0.5833333333333334,2692.6666666666665,3753.1666666666665,0.5
17,77023.58333333333,22909.166666666668,66.0,1.25,3181.5833333333335,3569.0,0.6666666666666666
18,73371.5,26500.75,124.83333333333333,2.9166666666666665,3671.9166666666665,3668.0833333333335,1.6666666666666667
19,69609.91666666667,30146.916666666668,237.25,5.916666666666667,4176.75,3786.8333333333335,3.0
20,65913.75,33621.75,453.0833333333333,11.416666666666666,4670.666666666667,3747.0,5.5
21,62283.833333333336,36856.25,839.0833333333334,20.833333333333332,5123.416666666667,3720.3333333333335,9.416666666666666
22,58781.833333333336,39684.916666666664,1496.0,37.25,5510.5,3650.4166666666665,16.416666666666668
23,55519.416666666664,41936.75,2484.25,59.583333333333336,5828.416666666667,3497.4166666666665,22.333333333333332
24,52492.166666666664,43533.083333333336,3881.25,93.5,6051.833333333333,3342.8333333333335,33.916666666666664
25,49729.5,44450.666666666664,5683.583333333333,136.25,6162.083333333333,3170.9166666666665,42.75
26,47179.0,44765.416666666664,7871.0,184.58333333333334,6208.75,3041.3333333333335,48.333333333333336
27,44929.166666666664,44379.833333333336,10448.083333333334,242.91666666666666,6153.916666666667,2838.25,58.333333333333336
28,42975.5,43364.0,13351.416666666666,309.0833333333333,6006.833333333333,2606.5833333333335,66.16666666666667
29,41269.083333333336,41749.25,16597.75,383.9166666666667,5795.25,2443.5833333333335,74.83333333333333
30,39718.666666666664,40093.166666666664,19734.5,453.6666666666667,5573.583333333333,2258.4166666666665,69.75
31,38387.0,38141.083333333336,22944.166666666668,527.75,5316.75,2063.3333333333335,74.08333333333333
32,37233.25,35895.75,26268.666666666668,602.3333333333334,5007.583333333333,1918.0833333333333,74.58333333333333
33,36236.166666666664,33501.0,29585.5,677.3333333333334,4663.166666666667,1749.1666666666667,75.0
34,35391.333333333336,30982.833333333332,32877.333333333336,748.5,4308.833333333333,1597.5833333333333,71.16666666666667
