Day,Susceptible,Infected,Recovered,Dead,Hospitalized,Daily Infected,Daily Dead
0,0.4819992036541475,0.4819992036541475,0.0,0.0,0.17943514064131835,0.4819992036541475,0.0
1,1.7964611677608642,1.7964611677608642,0.0,0.0,0.25,1.3944333775567928,0.0
2,3.494223226926975,3.4942232269269744,0.0,0.0,0.39806983804301976,1.995575914948673,0.0
3,8.575091659550758,8.575091659550758,0.0,0.0,1.148120994574099,5.5315326569906045,0.0
4,18.900590552475425,18.900590552475425,0.0,0.0,2.553839454546029,10.660361536121,0.0
5,35.713108746840234,35.713108746840234,0.0,0.0,4.96630057629836,17.243118229097263,0.0
6,69.58572850169143,69.58572850169143,0.0,0.0,10.000631293204759,34.62183873181373,0.0
7,135.07188508869692,135.07188508869692,0.0,0.0,20.088943639864606,65.95285946581218,0.0
8,253.4295209638364,253.4295209638364,0.0,0.0,36.04171264666887,118.50662460705553,0.0
9,441.0897339647466,441.0897339647466,0.0,0.0,61.097702844945765,187.89577757981482,0.0
10,676.7177633156002,676.7177633156002,0.0,0.0,94.31391008946473,236.4681679305789,0.0
11,944.615114221211,944.615114221211,0.0,0.0,131.98269275503014,269.2104430111556,0.0
12,1228.7532781998461,1228.7532781998466,0.0,0.0,172.41789877556744,287.219888796375,0.0
13,1481.7898754035555,1481.714209108743,0.44594129250792236,0.08333333333333333,208.9957393480943,254.9018527697564,0.08333333333333333
14,1697.5725018360479,1696.7236223100836,1.5067189585991212,0.1123666437438737,240.62806078336675,220.0635869998313,0.08333333333333333
15,1861.0462579534192,1859.4417335872777,2.7204565496224777,0.1486470975026408,262.89509468242426,169.8116826833701,0.1305582419667734
16,1966.1572123592055,1960.2024858043458,7.2632672059515,0.1305582419667734,275.5045509166003,108.57670797713253,0.1421338109037403
17,2015.212957610238,2001.2994848739072,15.649309372569254,0.35798961668820184,281.8547191409436,54.91101042283384,0.2972941950052816
18,2024.3577661891445,1996.3706311628855,29.46170044191769,1.0323064301148985,277.87871941194095,32.04081204282495,0.8176555546564863
19,1995.854005080522,1939.0231665139481,58.278605279582095,1.5200677815828019,270.3150553829118,32.9652020387339,0.6834996102206038
20,1928.3710000970125,1818.0786075503786,111.61923461193207,3.2476681611347678,249.29845379716372,58.76551482224275,1.8954690792263087
21,1832.4409281203323,1624.9842345777583,210.34670003870212,5.174419891361853,224.00166846420473,76.42825248412903,1.9905077774581068
22,1706.277477671226,1342.8605012277246,368.77383761335454,8.939576911327256,186.80942018457466,94.47273603286482,3.941491283176145
23,1564.0136958828368,1003.2228407396925,570.1404947134708,13.36159410286426,139.32230228553294,100.26483554803623,4.532430837081719
24,1411.9418363971963,634.1251126233656,799.7804086248938,18.752777572046938,84.66568240897713,99.70596607885193,5.474631577475411
25,1253.669963053525,280.5176987160156,1048.8577950525155,23.552916995351108,34.102443334959766,104.05505535751037,5.041995356177668
26,1085.8419657672162,294.99166547890843,1272.964266084195,28.566862910821285,47.93042621942515,115.6211240136586,5.64187983572923
27,941.6478259713479,586.298164117435,1469.6104674832593,31.692762373587552,92.25174165501615,97.08734222442192,3.7425852621476037
28,807.2707433261181,860.6305427922418,1620.7091718432923,35.88395824872111,131.01632637872953,98.33746781241409,4.8388161170002535
29,689.9960048742488,1076.8430887918573,1723.373360563227,36.89860355683457,158.90816506473928,93.95677869438832,3.0238947392294255
30,587.087204538068,1231.1451544859128,1773.9815265214556,38.455569272613914,180.59461795788252,88.62355126253878,3.156182805065306
31,486.43122677706293,1343.1127742086383,1786.9330737256917,38.740223595668944,193.08221674779486,91.61624990947158,3.222690230728409
32,408.5101248389807,1408.8135049725104,1776.3872475924534,38.13177411253897,201.7754699604929,85.63392178690674,2.881497926952283
33,332.6396114582734,1435.903037184952,1726.9439588095172,38.30818509737241,201.3712132612381,85.39017697154821,2.1141657857644396
34,266.58507748063005,1429.3825826385687,1656.472847024452,36.51838992932606,199.65344975732327,79.57885914759223,2.8364510476041267
35,209.10735456296896,1391.8125245647684,1563.42698724451,33.93162874506512,194.04013955255692,72.36388738155031,3.7199978277391295
36,161.3177956298334,1335.972602572086,1460.7982586240269,32.351789093893366,187.14523339865858,69.52571557533678,2.3863035105460586
37,129.76876044283034,1262.4396345204316,1356.937684194775,28.879353272788947,175.67950329730525,60.491046169384994,4.439833466710346
38,107.10093888996077,1172.6492762656117,1243.7394119137157,27.59843493952349,162.0885389052676,53.589930787585295,2.622262882752724
39,90.03193527125177,1065.398221596417,1119.9854534927467,24.687887575272477,144.2148719547651,51.55145389792512,3.8138503569823694
40,69.37059659334906,971.4618813256067,1005.7218938542493,21.750116103254495,131.30382494217162,49.99492398476494,4.22474672003954
41,57.607667094587406,874.2061893454536,892.1533520283123,19.424029687295302,116.85874880263425,45.31212599984978,3.070201355552493
42,51.16424212003117,783.7076326086731,786.5472720130122,17.49516527732185,105.10567974254016,39.56946327968607,2.9370499870214375
43,43.872663539618905,701.2928195032863,692.848116563986,16.42006963653586,93.73890506738557,36.444947759212354,2.9202359113225387
44,44.603493034840795,615.262445028645,600.868682501519,14.664169897675041,81.42577335006752,27.34801896690401,2.921532737340716
45,45.22638761125673,539.4351984560642,522.3127546177325,13.541252907431804,72.0329084446123,25.391579770316053,1.8954690792263087
46,46.19706225081916,466.970092779511,447.2651089136231,12.85788187310127,63.06591769527717,22.070979963872393,2.3414361473939946
47,49.3509387095641,406.0394909141452,383.4262074580409,12.30412183544255,55.748686400251046,20.51254543449009,2.196617004082929
48,49.73160286208684,352.1342396406131,326.3416470216575,12.03433115144445,49.65204050452133,18.314384146529928,1.4431569631200967
49,51.695837317521,301.88146023787806,275.8667092780113,11.86412979352366,42.13857010992531,13.479197402896906,1.7686595392150988
50,53.94012650592087,263.6461737333626,234.77484781523484,11.992079667325212,36.521363265183226,12.47350727896464,1.6211590192379544
51,56.76632835892714,232.63905909838488,200.65481189184956,12.13192944758632,31.53865673561366,13.254573253078055,1.4398723287959676
52,55.6962133525986,200.2759018671165,169.8262629747225,12.557343217690146,27.391510057540152,8.682495742770758,0.9958880104173005
53,57.30189302670938,170.89573878641193,141.2900765528961,12.583559098917906,23.864040400620016,8.043560383086811,1.2583057392117918
54,56.97985533626261,147.07318618959607,120.00866972048648,13.143343362610397,20.58353269440934,6.437883066959076,0.9333874443188752
